"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.215521880E-1,-2.567106187E-1,8.864384890E-2,3.201045990E-1,4.197916483E-1
6.261046880E-1,-2.334440351E-1,1.866281033E-3,3.862152100E-1,4.512890303E-1
6.306580210E-1,-1.964588165E-1,-9.539645910E-2,4.066534042E-1,4.615880655E-1
6.352120320E-1,-1.198327020E-1,-2.387554049E-1,4.482488632E-1,5.218151619E-1
6.397653650E-1,-6.570884585E-2,-3.662919700E-1,5.037231445E-1,6.262782657E-1
6.443178650E-1,-3.170061111E-2,-4.923711419E-1,5.872030258E-1,7.669691413E-1
6.488711990E-1,-1.064014435E-2,-5.956983566E-1,6.652421951E-1,8.930380300E-1
6.534252090E-1,3.328345716E-2,-6.623877883E-1,7.616262436E-1,1.009920742E0
6.579784900E-1,6.450785697E-2,-7.593486905E-1,8.501091003E-1,1.141690492E0
6.625309900E-1,9.053529799E-2,-8.296527863E-1,9.212779999E-1,1.243090318E0
6.670843240E-1,9.987400472E-2,-8.523292542E-1,9.562950134E-1,1.284889150E0
6.716383860E-1,1.143488884E-1,-9.039818048E-1,9.934368134E-1,1.348026511E0
6.761916670E-1,1.267541051E-1,-9.109234810E-1,1.030315399E0,1.381085809E0
6.807441670E-1,1.345211267E-1,-9.470899105E-1,1.114395142E0,1.468656449E0
6.852975010E-1,1.162261367E-1,-9.668812752E-1,1.159844398E0,1.514465894E0
6.898515630E-1,8.632367849E-2,-1.005863667E0,1.162227631E0,1.539476066E0
6.944048440E-1,7.377046347E-2,-1.013880968E0,1.114765167E0,1.508674278E0
6.989573440E-1,3.372412920E-2,-1.005374432E0,1.048704147E0,1.453167387E0
7.035106780E-1,1.679280400E-2,-9.804265499E-1,1.011633873E0,1.408872354E0
7.080646880E-1,-5.411416292E-3,-9.391760826E-1,9.772014618E-1,1.355361094E0
7.126180210E-1,-2.803987265E-2,-9.054898024E-1,9.477548599E-1,1.311082488E0
7.171704690E-1,-1.328381896E-2,-9.197580814E-1,9.019050598E-1,1.288240709E0
7.217238550E-1,7.656157017E-3,-9.246411324E-1,8.516578674E-1,1.257116130E0
7.262778650E-1,5.383560061E-2,-9.416922331E-1,8.017950058E-1,1.237965171E0
7.308311460E-1,8.956775069E-2,-9.660134315E-1,6.597671509E-1,1.173242100E0
7.353836460E-1,9.127178788E-2,-9.715024829E-1,5.283784866E-1,1.109653747E0
7.399369800E-1,6.359398365E-2,-9.939129353E-1,4.051837921E-1,1.075212083E0
7.444910420E-1,3.723007441E-2,-9.807853699E-1,2.663955688E-1,1.017001779E0
7.490443240E-1,-2.857069671E-2,-9.799242616E-1,1.501235962E-1,9.917685906E-1
7.535968240E-1,-3.884866834E-2,-9.747811556E-1,6.094264984E-2,9.774566624E-1
7.581501570E-1,-4.428330064E-2,-9.680430293E-1,-6.094932556E-3,9.690745407E-1
7.627042190E-1,-6.423057616E-2,-9.955950975E-1,-8.674907684E-2,1.001429262E0
7.672575010E-1,-9.162500501E-2,-1.031101465E0,-1.476793289E-1,1.045645522E0
7.718098960E-1,-1.362301111E-1,-1.036583900E0,-2.388725281E-1,1.072438768E0
7.763632290E-1,-1.459772736E-1,-1.057543278E0,-3.315925598E-1,1.117882272E0
7.809172390E-1,-1.856174022E-1,-1.060626984E0,-4.092102051E-1,1.151883853E0
7.854705730E-1,-1.983429044E-1,-1.079087973E0,-4.908342361E-1,1.201952165E0
7.900230210E-1,-1.820598841E-1,-1.079684258E0,-5.503263474E-1,1.225448076E0
7.945764060E-1,-2.009628266E-1,-1.095676422E0,-5.855054855E-1,1.258455225E0
7.991304160E-1,-1.975295097E-1,-1.093879223E0,-6.345357895E-1,1.279931768E0
8.036836980E-1,-2.263025343E-1,-1.098105907E0,-6.925563812E-1,1.317832980E0
8.082361980E-1,-2.277480960E-1,-1.087110996E0,-7.310104370E-1,1.329682583E0
8.127895310E-1,-2.589934766E-1,-1.079894304E0,-7.761583328E-1,1.354869398E0
8.173435940E-1,-2.817766070E-1,-1.052633643E0,-8.184518814E-1,1.362827621E0
8.218968750E-1,-3.363887072E-1,-1.007750034E0,-8.816452026E-1,1.380585295E0
8.264493750E-1,-3.631834090E-1,-9.548234940E-1,-9.323387146E-1,1.383056605E0
8.310027080E-1,-3.861117363E-1,-9.032552242E-1,-9.540290833E-1,1.369351585E0
8.355567710E-1,-4.289243817E-1,-8.194833994E-1,-9.825592041E-1,1.349426455E0
8.401100520E-1,-4.839368463E-1,-7.554236054E-1,-1.048752785E0,1.380123943E0
8.446625520E-1,-5.125159621E-1,-6.961839795E-1,-1.121487617E0,1.416008199E0
8.492158850E-1,-5.303820372E-1,-6.575878859E-1,-1.194572449E0,1.463123463E0
8.537698960E-1,-5.193511248E-1,-6.275849938E-1,-1.205448151E0,1.454886167E0
8.583231770E-1,-4.915213287E-1,-5.820538998E-1,-1.228247643E0,1.445327724E0
8.628757290E-1,-4.660723209E-1,-5.731058717E-1,-1.267695427E0,1.467216904E0
8.674290620E-1,-4.666198492E-1,-5.669612885E-1,-1.299935341E0,1.492987300E0
8.719830730E-1,-4.357461929E-1,-5.685295463E-1,-1.289312363E0,1.474932866E0
8.765363540E-1,-4.187237918E-1,-5.991342664E-1,-1.276531219E0,1.470994030E0
8.810888540E-1,-3.846344650E-1,-5.991854668E-1,-1.283020020E0,1.467347016E0
8.856421870E-1,-3.552087545E-1,-6.306812167E-1,-1.268219948E0,1.460244463E0
8.901962500E-1,-3.115812242E-1,-6.672301292E-1,-1.244143486E0,1.445742687E0
8.947495310E-1,-2.633342743E-1,-7.088680863E-1,-1.191795349E0,1.411458486E0
8.993020310E-1,-2.319009006E-1,-7.795472145E-1,-1.132732391E0,1.394472860E0
9.038553640E-1,-1.931121945E-1,-8.459672332E-1,-1.066981316E0,1.375282519E0
9.084094270E-1,-1.373133659E-1,-9.012916088E-1,-9.850387573E-1,1.342193309E0
9.129627080E-1,-1.121415496E-1,-9.530535936E-1,-8.774414062E-1,1.300303926E0
9.175152080E-1,-9.608311951E-2,-1.018207431E0,-8.014249802E-1,1.299330727E0
9.220685410E-1,-1.251396984E-1,-1.094413757E0,-7.401418686E-1,1.327106402E0
9.266225520E-1,-1.708601117E-1,-1.164949894E0,-6.792163849E-1,1.359277871E0
9.311758850E-1,-2.381613851E-1,-1.222806931E0,-6.376733780E-1,1.399501687E0
9.357283850E-1,-3.292815089E-1,-1.289581180E0,-5.749330521E-1,1.449825488E0
9.402817190E-1,-4.202181697E-1,-1.329829931E0,-5.196504593E-1,1.488310302E0
9.448357290E-1,-5.228487849E-1,-1.348654747E0,-4.217729568E-1,1.506696023E0
9.493890100E-1,-6.062475443E-1,-1.384404659E0,-3.124485016E-1,1.543287534E0
9.539415100E-1,-6.873049736E-1,-1.396509528E0,-2.417240143E-1,1.575137292E0
9.584948960E-1,-7.446244955E-1,-1.387563109E0,-1.260633469E-1,1.579774981E0
9.630489060E-1,-7.924594879E-1,-1.379197240E0,-7.283210754E-2,1.592319560E0
9.676021870E-1,-8.139768839E-1,-1.330920696E0,-1.029586792E-2,1.560132774E0
9.721546870E-1,-7.969611883E-1,-1.295472622E0,1.624870300E-2,1.521072145E0
9.767080210E-1,-7.747728825E-1,-1.260826588E0,8.792972565E-2,1.482460232E0
9.812620830E-1,-7.687504292E-1,-1.196022511E0,1.164188385E-1,1.426534407E0
9.858153640E-1,-7.382644415E-1,-1.124748111E0,1.042823792E-1,1.349432293E0
9.903678640E-1,-6.975958347E-1,-1.068363428E0,8.980751038E-2,1.279103495E0
9.949211980E-1,-6.275673509E-1,-9.930257797E-1,8.964157104E-2,1.178124183E0
9.994752600E-1,-5.664026737E-1,-9.487901926E-1,7.037162781E-2,1.107233934E0
1.004028541E0,-4.855154753E-1,-8.686708212E-1,7.494831085E-2,9.979636875E-1
1.008581041E0,-3.896908760E-1,-7.693486214E-1,2.227115631E-2,8.627005764E-1
1.013134375E0,-3.027426600E-1,-7.102453113E-1,3.096580505E-3,7.720823202E-1
1.017688385E0,-2.150841206E-1,-6.481481791E-1,-6.372070312E-2,6.858699359E-1
1.022241719E0,-1.481435001E-1,-5.567657948E-1,-1.350946426E-1,5.917644880E-1
1.026794219E0,-9.699818492E-2,-4.766721129E-1,-1.943387985E-1,5.238248942E-1
1.031347552E0,-7.353311777E-2,-3.982322514E-1,-2.295980453E-1,4.655226180E-1
1.035901562E0,-5.407840014E-2,-3.502329588E-1,-2.600135803E-1,4.395391459E-1
1.040454896E0,-5.080312490E-2,-3.160219491E-1,-2.141246796E-1,3.850976606E-1
1.045007344E0,-6.148284674E-2,-2.889232635E-1,-2.161026001E-1,3.660015388E-1
1.049560729E0,-6.716564298E-2,-2.693305910E-1,-1.823310852E-1,3.321066327E-1
1.054114739E0,-8.482941985E-2,-2.768039107E-1,-1.176939011E-1,3.125192631E-1
1.058668021E0,-1.145991683E-1,-3.067219853E-1,-8.901309967E-2,3.393150123E-1
1.063220521E0,-1.376997232E-1,-3.354819417E-1,-6.513118744E-2,3.684445936E-1
1.067773906E0,-1.640233099E-1,-3.680638969E-1,-5.553817749E-2,4.067667238E-1
1.072327916E0,-2.174441069E-1,-3.663285077E-1,-8.399581909E-2,4.342048051E-1
1.076881198E0,-2.620108426E-1,-3.470953703E-1,-1.860809326E-1,4.730232459E-1
1.081433698E0,-2.951103449E-1,-2.937063277E-1,-2.828702927E-1,5.033578499E-1
1.085987031E0,-3.023877740E-1,-2.514668703E-1,-3.743982315E-1,5.429990686E-1
1.090541094E0,-3.029519916E-1,-2.034384906E-1,-4.368753433E-1,5.692338661E-1
1.095094375E0,-2.967121601E-1,-1.780234575E-1,-4.966506958E-1,6.053035363E-1
1.099646875E0,-2.882910669E-1,-1.488118470E-1,-5.418348312E-1,6.315391432E-1
1.104200208E0,-2.632817626E-1,-1.321811676E-1,-6.106281281E-1,6.779792463E-1
1.108754271E0,-2.453549504E-1,-1.114578545E-1,-6.528997421E-1,7.063285201E-1
1.113307552E0,-2.439509332E-1,-5.806526542E-2,-7.021265030E-1,7.455637190E-1
1.117860052E0,-2.446487546E-1,-2.185091376E-2,-7.416143417E-1,7.812312765E-1
1.122413385E0,-2.496533990E-1,2.140539885E-2,-7.261533737E-1,7.681690783E-1
1.126967448E0,-2.828326225E-1,7.416963577E-2,-7.584381104E-1,8.128491831E-1
1.131520729E0,-3.201908171E-1,9.617060423E-2,-7.882490158E-1,8.562169441E-1
1.136073229E0,-3.283536732E-1,1.113671064E-1,-8.132152557E-1,8.840462767E-1
1.140626562E0,-3.298621178E-1,1.362631321E-1,-8.274621964E-1,9.011494572E-1
1.145180573E0,-2.977902889E-1,1.548014283E-1,-8.772439957E-1,9.392547931E-1
1.149733906E0,-2.917387486E-1,1.695686579E-1,-9.029502869E-1,9.639420354E-1
1.154286406E0,-2.783253789E-1,1.592928171E-1,-9.451274872E-1,9.980506927E-1
